Date,Open,High,Low,Close,Volume,Currency
2021-07-09,111957.648,112855.704,111957.648,113229.894,3,CLP
2021-07-09,125.9632,126.9736,125.9632,127.3946,3,EUR
2021-07-09,149.6,150.8,149.6,151.3,3,USD
2021-07-12,793.5382,795.866,793.5382,795.866,23,BRL
2021-07-12,114002.278,114336.7045,114002.278,114336.7045,23,CLP
2021-07-12,129.3162,129.6956,129.3162,129.6956,23,EUR
2021-07-12,153.4,153.85,153.4,153.85,23,USD
2021-07-13,785.6868,785.6868,785.1706,785.1706,5,BRL
2021-07-13,114038.894,114038.894,113963.967,113963.967,5,CLP
2021-07-13,129.2178,129.2178,129.1329,129.1329,5,EUR
2021-07-13,152.2,152.2,152.1,152.1,5,USD
2021-07-14,783.6612,783.6612,775.2947,793.2954,4,BRL
2021-07-14,115090.294,115090.294,113861.572,116505.186,4,CLP
2021-07-14,130.5484,130.5484,129.1546,132.1533,4,EUR
2021-07-14,154.55,154.55,152.9,156.45,4,USD
2021-07-15,796.649,806.1025,796.649,801.759,35,BRL
2021-07-15,117938.35,119337.875,117938.35,118694.85,35,CLP
2021-07-15,131.9382,133.5038,131.9382,132.7845,35,EUR
2021-07-15,155.9,157.75,155.9,156.9,35,USD
2021-07-16,806.6905,828.428,806.6905,824.4896,0,BRL
2021-07-16,119496.558,122716.5705,119496.558,122133.18,0,CLP
2021-07-16,133.5573,137.1562,133.5573,136.5042,0,EUR
2021-07-16,157.72,161.97,157.72,161.2,0,USD
2021-07-19,837.678,837.678,817.1956,815.3575,5,BRL
2021-07-19,121140.25,121140.25,118178.2,117912.375,5,CLP
2021-07-19,135.1444,135.1444,131.8399,131.5433,5,EUR
2021-07-19,159.5,159.5,155.6,155.25,5,USD
2021-07-20,839.9784,878.8712,837.5248,864.7758,0,BRL
2021-07-20,121930.02,127575.63,121573.854,125529.57,0,CLP
2021-07-20,136.5558,142.8786,136.1569,140.5872,0,EUR
2021-07-20,160.9,168.35,160.43,165.65,0,USD
2021-07-21,866.8145,922.8385,863.9615,912.9824,34757,BRL
2021-07-21,125689.278,133812.822,125275.579,132383.68,34757,CLP
2021-07-21,141.6507,150.8058,141.1844,149.1952,34757,EUR
2021-07-21,167.1,177.9,166.55,176.0,34757,USD
2021-07-22,936.054,1016.6586,936.054,1007.0381,44986,BRL
2021-07-22,135603.0,147279.925,135603.0,145886.2275,44986,CLP
2021-07-22,152.91,166.0772,152.91,164.5057,44986,EUR
2021-07-22,180.0,195.5,180.0,193.65,44986,USD
2021-07-23,1066.6431,1089.5257,973.5523,982.9134,41105,BRL
2021-07-23,156236.976,159588.72,142601.472,143972.64,41105,CLP
2021-07-23,174.1914,177.9284,158.989,160.5177,41105,EUR
2021-07-23,205.1,209.5,187.2,189.0,41105,USD
2021-07-26,1032.632,1113.8967,1030.0439,1075.5936,37319,BRL
2021-07-26,151564.14,163491.744,151184.28,157869.816,37319,CLP
2021-07-26,169.0164,182.3174,168.5928,176.0482,37319,EUR
2021-07-26,199.5,215.2,199.0,207.8,37319,USD
2021-07-27,1066.3647,1083.4224,1031.474,1042.8458,27477,BRL
2021-07-27,158337.313,160870.096,153156.6205,154845.1425,27477,CLP
2021-07-27,174.5711,177.3635,168.8592,170.7208,27477,EUR
2021-07-27,206.3,209.6,199.55,201.75,27477,USD
2021-07-28,1043.8586,1050.509,998.5846,1025.4421,28234,BRL
2021-07-28,155373.8725,156363.7575,148635.04,152632.6525,28234,CLP
2021-07-28,172.259,173.3565,164.7878,169.2199,28234,EUR
2021-07-28,204.05,205.35,195.2,200.45,28234,USD
2021-07-29,1025.3862,1034.0242,966.6983,998.4558,29964,BRL
2021-07-29,153333.694,154625.405,144557.6575,149306.595,29964,CLP
2021-07-29,169.7138,171.1435,160.0002,165.2565,29964,EUR
2021-07-29,201.8,203.5,190.25,196.5,29964,USD
2021-07-30,1042.46,1051.5815,930.9168,935.8685,31471,BRL
2021-07-30,151240.0,152563.35,135057.32,135775.71,31471,CLP
2021-07-30,168.46,169.934,150.4348,151.235,31471,EUR
2021-07-30,200.0,201.75,178.6,179.55,31471,USD
2021-08-02,928.0824,928.0824,887.9785,894.1882,37342,BRL
2021-08-02,137740.8,137740.8,131788.8,132710.4,37342,CLP
2021-08-02,151.0844,151.0844,144.5558,145.5667,37342,EUR
2021-08-02,179.35,179.35,171.6,172.8,37342,USD
2021-08-03,897.9898,923.4536,894.0922,908.643,18664,BRL
2021-08-03,133989.12,137788.58,133407.57,135578.69,18664,CLP
2021-08-03,145.6531,149.7833,145.0209,147.3811,18664,EUR
2021-08-03,172.8,177.7,172.05,174.85,18664,USD
2021-08-04,910.9481,923.3525,898.8022,907.847,18865,BRL
2021-08-04,136398.1125,138255.4485,134579.471,135933.7785,18865,CLP
2021-08-04,148.8784,150.9057,146.8933,148.3716,18865,EUR
2021-08-04,176.25,178.65,173.9,175.65,18865,USD
2021-08-05,921.9517,932.4493,909.617,928.5127,17207,BRL
2021-08-05,136574.901,138129.981,134747.682,137546.826,17207,CLP
2021-08-05,148.4067,150.0965,146.4212,149.4628,17207,EUR
2021-08-05,175.65,177.65,173.3,176.9,17207,USD
2021-08-06,929.9118,929.9118,907.6839,920.4976,21241,BRL
2021-08-06,140044.17,140044.17,136696.6575,138626.4,21241,CLP
2021-08-06,151.1478,151.1478,147.5349,149.6176,21241,EUR
2021-08-06,177.8,177.8,173.55,176.0,21241,USD
2021-08-09,914.7459,945.0979,902.4481,938.5565,22411,BRL
2021-08-09,137214.504,141767.388,135369.801,140786.163,22411,CLP
2021-08-09,148.8772,153.817,146.8757,152.7524,22411,EUR
2021-08-09,174.8,180.6,172.45,179.35,22411,USD
2021-08-10,931.5152,945.7864,921.3957,944.489,29061,BRL
2021-08-10,139710.235,141850.6425,138192.4915,141656.06,29061,CLP
2021-08-10,153.1314,155.4775,151.4679,155.2642,29061,EUR
2021-08-10,179.5,182.25,177.55,182.0,29061,USD
2021-08-11,944.5485,966.988,938.2863,959.4212,29470,BRL
2021-08-11,139545.57,142860.741,138620.406,141742.8345,29470,CLP
2021-08-11,154.1577,157.82,153.1357,156.585,29470,EUR
2021-08-11,181.0,185.3,179.8,183.85,29470,USD
2021-08-12,970.1183,981.6736,960.4013,979.8352,39088,BRL
2021-08-12,143009.516,144712.932,141577.098,144441.934,39088,CLP
2021-08-12,157.4383,159.3136,155.8613,159.0152,39088,EUR
2021-08-12,184.7,186.9,182.85,186.55,39088,USD
2021-08-13,975.6053,982.9505,950.6839,958.8162,24800,BRL
2021-08-13,144198.6465,145284.3045,140515.164,141717.1425,24800,CLP
2021-08-13,157.6484,158.8353,153.6214,154.9354,24800,EUR
2021-08-13,185.95,187.35,181.2,182.75,24800,USD
2021-08-16,956.966,979.5819,945.3951,963.5404,15358,BRL
2021-08-16,143058.1875,146439.0625,141328.4375,144041.0,15358,CLP
2021-08-16,154.4392,158.089,152.5718,155.5002,15358,EUR
2021-08-16,181.95,186.25,179.75,183.2,15358,USD
2021-08-17,975.3022,975.5669,944.0628,947.5045,15802,BRL
2021-08-17,145462.74,145502.225,140803.51,141316.815,15802,CLP
2021-08-17,157.2884,157.3311,152.2504,152.8054,15802,EUR
2021-08-17,184.2,184.25,178.3,178.95,15802,USD
2021-08-18,961.0298,974.4783,955.3814,966.6782,8908,BRL
2021-08-18,140567.1795,142534.2545,139741.008,141393.351,8908,CLP
2021-08-18,152.5135,154.6478,151.6171,153.4099,8908,EUR
2021-08-18,178.65,181.15,177.6,179.7,8908,USD
2021-08-19,969.9539,969.9539,948.5678,964.8104,13006,BRL
2021-08-19,140745.6145,140745.6145,137642.376,139999.266,13006,CLP
2021-08-19,153.4061,153.4061,150.0238,152.5927,13006,EUR
2021-08-19,179.15,179.15,175.2,178.2,13006,USD
2021-08-20,958.7191,966.2469,941.2438,958.4502,15450,BRL
2021-08-20,140131.319,141231.621,137577.0465,140092.0225,15450,CLP
2021-08-20,152.4108,153.6076,149.6327,152.3681,15450,EUR
2021-08-20,178.3,179.7,175.05,178.25,15450,USD
2021-08-23,954.7165,970.8571,953.3714,968.167,272,BRL
2021-08-23,139064.016,141415.056,138868.096,141023.216,272,CLP
2021-08-23,151.0632,153.6171,150.8504,153.1914,272,EUR
2021-08-23,177.45,180.45,177.2,179.95,272,USD
2021-08-24,945.3833,966.6308,945.3833,961.6468,41,BRL
2021-08-24,140892.974,144059.5475,140892.974,143316.771,41,CLP
2021-08-24,153.2781,156.723,153.2781,155.915,41,EUR
2021-08-24,180.2,184.25,180.2,183.3,41,USD
2021-08-25,965.9886,965.9886,958.4316,959.2134,40,BRL
