"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.06.2022","902,65","890,26","908,01","888,48","10,28K","1,55%"
"22.06.2022","888,88","874,00","891,64","874,00","6,95K","1,89%"
"21.06.2022","872,35","883,60","883,60","874,00","0,07K","-1,11%"
"20.06.2022","882,10","876,79","885,96","870,51","3,33K","0,71%"
"17.06.2022","875,86","867,10","878,24","864,15","6,83K","1,10%"
"16.06.2022","866,30","857,02","875,07","856,21","9,42K","1,19%"
"15.06.2022","856,08","869,03","869,54","853,23","8,80K","-1,38%"
"14.06.2022","868,10","862,96","873,70","855,95","9,36K","0,71%"
"13.06.2022","861,99","844,63","871,37","844,24","9,77K","2,16%"
"10.06.2022","843,80","826,50","846,72","822,84","8,38K","2,29%"
"09.06.2022","824,90","821,75","830,80","821,50","7,56K","0,45%"
"08.06.2022","821,20","825,00","826,72","819,11","8,96K","-0,34%"
"07.06.2022","824,00","822,74","833,19","821,59","8,16K","0,24%"
"06.06.2022","822,05","811,80","824,04","808,91","6,12K","1,35%"
"03.06.2022","811,12","813,23","817,80","807,68","8,27K","-0,17%"
"02.06.2022","812,54","823,60","824,32","811,15","9,16K","-1,26%"
"01.06.2022","822,92","824,21","828,09","820,25","8,67K","-0,06%"
"31.05.2022","823,38","830,49","835,35","820,41","8,92K","-0,79%"
"30.05.2022","829,94","826,50","831,60","819,50","6,45K","0,48%"
"27.05.2022","825,95","823,82","827,13","818,53","7,64K","0,24%"
"26.05.2022","824,00","832,10","834,75","822,69","8,18K","-0,93%"
"25.05.2022","831,70","830,35","838,00","830,05","8,08K","0,22%"
"24.05.2022","829,90","830,48","839,08","826,95","8,64K","0,00%"
"23.05.2022","829,93","836,50","836,50","826,78","7,49K","-0,72%"
"20.05.2022","835,95","837,55","840,11","829,07","9,43K","-0,13%"
"19.05.2022","837,00","854,72","854,78","835,72","9,48K","-2,00%"
"18.05.2022","854,04","850,99","855,34","847,02","9,04K","0,46%"
"17.05.2022","850,10","857,78","857,81","848,36","8,48K","-0,82%"
"16.05.2022","857,09","860,40","860,74","853,95","6,97K","-0,32%"
"13.05.2022","859,85","865,66","866,34","857,20","7,91K","-0,61%"
"12.05.2022","865,11","862,13","872,30","861,73","8,89K","0,41%"
"11.05.2022","861,58","866,85","869,81","857,18","9,05K","-0,50%"
"10.05.2022","865,90","868,76","871,03","862,23","9,32K","-0,13%"
"09.05.2022","867,00","858,99","871,64","858,10","7,52K","1,00%"
"06.05.2022","858,44","862,27","862,55","853,58","7,65K","-0,38%"
"05.05.2022","861,70","853,51","868,91","851,51","10,29K","1,03%"
"04.05.2022","852,90","855,51","866,66","851,85","11,45K","-0,23%"
"03.05.2022","854,90","861,26","861,26","852,27","9,31K","-0,58%"
"02.05.2022","859,88","852,51","864,82","849,51","7,39K","1,03%"
"29.04.2022","851,13","858,01","858,51","846,60","6,71K","-0,67%"
"28.04.2022","856,90","846,95","862,75","846,95","8,76K","1,34%"
"27.04.2022","845,57","846,91","852,55","841,78","8,79K","0,00%"
"26.04.2022","845,53","844,91","853,52","840,49","9,58K","0,12%"
"25.04.2022","844,50","837,25","860,13","836,50","9,15K","1,00%"
"22.04.2022","836,15","824,85","841,30","824,75","9,82K","1,51%"
"21.04.2022","823,75","814,45","826,00","811,59","9,61K","1,24%"
"20.04.2022","813,70","819,80","821,91","812,35","9,09K","-0,68%"
"19.04.2022","819,30","816,59","822,60","810,91","10,42K","0,36%"
"18.04.2022","816,40","814,95","820,88","813,80","6,90K","0,31%"
"15.04.2022","813,85","815,40","815,50","814,42","0,37K","-0,06%"
"14.04.2022","814,30","805,85","818,32","805,39","6,69K","1,05%"
"13.04.2022","805,80","806,05","810,21","799,15","8,03K","-0,07%"
"12.04.2022","806,40","817,25","818,35","800,94","8,56K","-1,19%"
"11.04.2022","816,15","815,00","824,16","814,03","8,07K","0,28%"
"08.04.2022","813,90","806,04","819,39","798,27","8,67K","1,08%"
"07.04.2022","805,22","799,91","816,09","798,00","9,04K","0,76%"
"06.04.2022","799,16","787,41","802,09","786,74","9,17K","1,56%"
"05.04.2022","786,90","779,03","788,23","775,49","9,18K","1,08%"
"04.04.2022","778,50","782,99","783,85","775,67","7,32K","-0,51%"
